,image,segmentation
1,"((180, 125), (2.0, 2.0, 3.0))","((180, 125), (2.0, 2.0, 3.0))"
2,"((173, 205), (2.0, 2.0, 3.0))","((173, 205), (2.0, 2.0, 3.0))"
3,"((197, 167), (2.0, 2.0, 3.0))","((197, 167), (2.0, 2.0, 3.0))"
4,"((181, 160), (2.0, 2.0, 3.0))","((181, 160), (2.0, 2.0, 3.0))"
5,"((184, 158), (2.0, 2.0, 3.0))","((184, 158), (2.0, 2.0, 3.0))"
6,"((200, 209), (2.0, 2.0, 3.0))","((200, 209), (2.0, 2.0, 3.0))"
7,"((216, 231), (2.0, 2.0, 3.0))","((216, 231), (2.0, 2.0, 3.0))"
8,"((187, 206), (2.0, 2.0, 3.0))","((187, 206), (2.0, 2.0, 3.0))"
9,"((201, 206), (2.0, 2.0, 3.0))","((201, 206), (2.0, 2.0, 3.0))"
10,"((187, 229), (2.0, 2.0, 3.0))","((187, 229), (2.0, 2.0, 3.0))"
11,"((196, 202), (2.0, 2.0, 3.0))","((196, 202), (2.0, 2.0, 3.0))"
12,"((172, 156), (2.0, 2.0, 3.0))","((172, 156), (2.0, 2.0, 3.0))"
13,"((185, 218), (2.0, 2.0, 3.0))","((185, 218), (2.0, 2.0, 3.0))"
14,"((201, 203), (2.0, 2.0, 3.0))","((201, 203), (2.0, 2.0, 3.0))"
15,"((164, 201), (2.0, 2.0, 3.0))","((164, 201), (2.0, 2.0, 3.0))"
16,"((200, 223), (2.0, 2.0, 3.0))","((200, 223), (2.0, 2.0, 3.0))"
17,"((201, 226), (2.0, 2.0, 3.0))","((201, 226), (2.0, 2.0, 3.0))"
18,"((194, 226), (2.0, 2.0, 3.0))","((194, 226), (2.0, 2.0, 3.0))"
19,"((202, 212), (2.0, 2.0, 3.0))","((202, 212), (2.0, 2.0, 3.0))"
20,"((175, 223), (2.0, 2.0, 3.0))","((175, 223), (2.0, 2.0, 3.0))"
21,"((191, 214), (2.0, 2.0, 3.0))","((191, 214), (2.0, 2.0, 3.0))"
22,"((216, 231), (2.0, 2.0, 3.0))","((216, 231), (2.0, 2.0, 3.0))"
23,"((168, 152), (2.0, 2.0, 3.0))","((168, 152), (2.0, 2.0, 3.0))"
24,"((191, 212), (2.0, 2.0, 3.0))","((191, 212), (2.0, 2.0, 3.0))"
25,"((204, 232), (2.0, 2.0, 3.0))","((204, 232), (2.0, 2.0, 3.0))"
